"sno","user_query","intent"
1,"What are the symptoms of the flu?","Symptom Inquiry"
2,"Can you suggest remedies for a sore throat?","Treatment Inquiry"
3,"What are the side effects of ibuprofen?","Medication Information"
4,"How can I relieve muscle pain after exercising?","Medical Advice"
5,"Tell me a joke!","Non-medical Queries"
6,"What is asthma?","Symptom Inquiry"
7,"How is arthritis treated?","Treatment Inquiry"
8,"Is it safe to take two different medications together?","Medication Information"
9,"Do you have any tips for managing stress?","Medical Advice"
10,"What's the capital of France?","Non-medical Queries"
11,"Why am I experiencing dizziness?","Symptom Inquiry"
12,"What are the treatment options for depression?","Treatment Inquiry"
13,"Can you tell me about the dosage for paracetamol?","Medication Information"
14,"I have a cold. What should I do to recover quickly?","Medical Advice"
15,"What's the weather like today?","Non-medical Queries"
16,"How can I prevent the common cold?","Symptom Inquiry"
17,"Can you suggest remedies for a sore throat?","Treatment Inquiry"
18,"What are the side effects of aspirin?","Medication Information"
19,"How can I relieve muscle pain after exercising?","Medical Advice"
20,"Tell me a joke!","Non-medical Queries"
21,"What are the symptoms of food poisoning?","Symptom Inquiry"
22,"How is arthritis treated?","Treatment Inquiry"
23,"Is it safe to take two different medications together?","Medication Information"
24,"Do you have any tips for managing stress?","Medical Advice"
25,"What's the capital of France?","Non-medical Queries"
26,"I have a headache. What could be causing it?","Symptom Inquiry"
27,"What are the treatment options for depression?","Treatment Inquiry"
28,"Can you tell me about the dosage for paracetamol?","Medication Information"
29,"How can I relieve muscle pain after exercising?","Medical Advice"
30,"What's the weather like today?","Non-medical Queries"
31,"What are the symptoms of COVID-19?","Symptom Inquiry"
32,"Is there a cure for the common cold?","Treatment Inquiry"
33,"Are there any side effects of vitamin supplements?","Medication Information"
34,"How can I reduce stress and anxiety?","Medical Advice"
35,"Tell me a fun fact!","Non-medical Queries"
36,"What are the symptoms of malaria?","Symptom Inquiry"
37,"How can I manage chronic pain?","Treatment Inquiry"
38,"What are the common allergy medications?","Medication Information"
39,"Can you suggest home remedies for a sore throat?","Medical Advice"
40,"What's the time in New York right now?","Non-medical Queries"
41,"Why am I feeling fatigued all the time?","Symptom Inquiry"
42,"What are the treatment options for insomnia?","Treatment Inquiry"
43,"Is it safe to mix different over-the-counter medications?","Medication Information"
44,"How can I improve my sleep quality?","Medical Advice"
45,"Tell me a riddle!","Non-medical Queries"
46,"What are the symptoms of a heart attack?","Symptom Inquiry"
47,"What are the natural remedies for allergies?","Treatment Inquiry"
48,"Are there any side effects of antibiotics?","Medication Information"
49,"Can you suggest exercises to strengthen my back?","Medical Advice"
50,"What's the latest movie release?","Non-medical Queries"
